Rk,Team,Overall,Shootout,Overtime,Home,Road,EAS,WES,ATL,MET,CEN,PAC,≤1,≥3,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Colorado Avalanche,55-16-11,4-6,3-5,26-9-6,29-7-5,20-9-3,35-7-8,9-6-1,11-3-2,16-5-5,19-2-3,14-4-11,26-7-0,7-1-4,11-0-2,12-1-1,6-6-2,3-2-0,10-4-1,6-2-1
2,Carolina Hurricanes,53-22-7,5-4,9-3,29-10-2,24-12-5,33-13-4,20-9-3,13-9-2,20-4-2,10-4-2,10-5-1,24-4-7,24-12-0,7-3-0,9-4-2,8-5-1,9-3-3,5-0-0,9-6-0,6-1-1
3,Dallas Stars,50-20-12,6-4,6-8,26-11-4,24-9-8,16-10-6,34-10-6,8-4-4,8-6-2,17-6-3,17-4-3,28-6-12,18-8-0,6-3-2,11-2-2,8-3-3,7-6-2,4-0-0,8-5-3,6-1-0
4,Buffalo Sabres,50-23-9,5-1,3-8,26-10-5,24-13-4,29-16-5,21-7-4,16-6-4,13-10-1,8-5-3,13-2-1,15-3-9,20-15-0,4-4-3,6-7-1,11-3-0,10-4-1,4-1-1,11-2-2,4-2-1
5,Tampa Bay Lightning,50-26-6,4-2,6-4,26-14-1,24-12-5,27-20-3,23-6-3,16-9-1,11-11-2,11-4-1,12-2-2,15-10-6,24-10-0,5-4-2,11-3-0,7-6-1,11-1-1,4-2-0,8-6-2,4-4-0
6,Montreal Canadiens,48-24-10,4-5,10-5,24-15-2,24-9-8,27-15-8,21-9-2,16-9-1,11-6-7,11-4-1,10-5-1,23-6-10,19-11-0,8-3-0,5-5-3,8-4-3,10-5-1,2-0-2,10-4-1,5-3-0
7,Minnesota Wild,46-24-12,4-5,11-7,23-10-8,23-14-4,16-11-5,30-13-7,10-4-2,6-7-3,13-10-3,17-3-4,20-5-12,22-14-0,3-6-3,11-1-2,10-3-2,8-4-3,3-1-0,6-6-2,5-3-0
8,Boston Bruins,45-27-10,4-3,8-7,29-11-1,16-16-9,27-15-8,18-12-2,11-12-3,16-3-5,11-5-0,7-7-2,20-8-10,16-10-0,6-7-0,9-5-0,6-6-2,11-2-1,1-1-2,10-3-3,2-3-2
9,Ottawa Senators,44-27-11,3-1,3-10,23-12-6,21-15-5,27-15-8,17-12-3,12-8-6,15-7-2,5-10-1,12-2-2,16-10-11,21-11-0,6-5-1,6-4-3,6-6-1,8-6-2,3-1-1,9-4-2,6-1-1
10,Philadelphia Flyers,43-27-12,10-4,6-8,20-13-8,23-14-4,22-20-8,21-7-4,10-11-3,12-9-5,11-4-1,10-3-3,17-5-12,18-17-0,6-3-1,8-4-2,6-5-4,4-8-3,3-1-1,10-4-1,6-2-0
11,Pittsburgh Penguins,41-25-16,3-10,4-6,20-13-8,21-12-8,25-15-10,16-10-6,12-11-1,13-4-9,8-5-3,8-5-3,12-7-16,25-15-0,8-2-2,4-5-3,5-5-4,11-2-2,2-1-2,8-6-3,3-4-0
12,Washington Capitals,43-30-9,2-6,4-3,25-11-5,18-19-4,27-18-5,16-12-4,10-11-3,17-7-2,6-8-2,10-4-2,13-8-9,22-15-0,6-5-0,9-4-2,6-5-3,6-8-2,4-2-0,7-4-2,5-2-0
13,Vegas Golden Knights,39-26-17,1-8,8-9,20-12-9,19-14-8,14-11-7,25-15-10,5-8-3,9-3-4,10-10-4,15-5-6,16-10-17,18-11-0,6-2-3,5-4-5,6-4-3,8-5-3,3-2-0,5-9-2,6-0-1
